num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
18	2021-11-23	03:01:02	2	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	66	9.176
18	2021-11-23	03:01:02	3	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	137	5.945
18	2021-11-23	03:01:02	4	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	-27	9.442
18	2021-11-23	03:01:02	5	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	159	5.921
18	2021-11-23	03:01:02	6	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-122	8.827
18	2021-11-23	03:01:02	7	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	130	3.565
18	2021-11-23	03:01:02	8	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	-9	4.441
18	2021-11-23	03:01:02	9	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-168	3.78
18	2021-11-23	03:01:02	10	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	-94	3.238
18	2021-11-23	03:01:02	11	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	158	3.196
18	2021-11-23	03:01:02	12	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	60	2.815
18	2021-11-23	03:01:02	13	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	155	6.064
18	2021-11-23	03:01:02	14	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	103	7.395
